date, pm25, pm10, o3, no2, so2, co
2021/3/1, 152, , , , , 
2021/2/1, 113, 53, 19, 9, , 
2021/2/2, 88, 55, 20, 7, , 
2021/2/3, 104, 54, 17, 11, , 
2021/2/4, 96, 53, 17, 13, , 
2021/2/5, 94, 61, 19, 15, , 
2021/2/6, 104, 56, 20, 11, , 
2021/2/7, 105, 68, 19, 15, , 
2021/2/8, 127, 45, 6, 10, , 
2021/2/9, 83, 31, 14, 10, , 
2021/2/10, 60, 46, 18, 14, , 
2021/2/11, 89, 53, 25, 12, , 
2021/2/12, 104, 56, 25, 14, , 
2021/2/13, 113, 59, 28, 13, , 
2021/2/14, 119, 62, 26, 16, , 
2021/2/15, 125, 73, 29, 14, , 
2021/2/16, 145, 70, 20, 11, , 
2021/2/17, 141, 50, 19, 6, , 
2021/2/18, 94, 47, 19, 8, , 
2021/2/19, 92, 48, 21, 10, , 
2021/2/20, 93, 66, 24, 17, , 
2021/2/21, 127, 78, 30, 22, , 
2021/2/22, 141, 75, 32, 19, , 
2021/2/23, 145, 75, 28, 17, 1, 
2021/2/24, 154, 68, 21, 15, , 
2021/2/25, 150, 66, 23, 16, , 
2021/2/26, 142, 64, 23, 6, , 
2021/2/27, 154, , , , , 
2021/1/4, 77, 53, 20, 11, , 
2021/1/5, 112, 42, 19, 12, , 
2021/1/6, 90, 46, 21, 11, , 
2021/1/7, 91, 36, 21, 6, , 
2021/1/8, 63, 30, 20, 6, , 
2021/1/9, 55, 34, 19, 7, , 
2021/1/10, 71, 41, 19, 6, , 
2021/1/11, 74, 55, 18, 8, , 
2021/1/12, 99, 63, 23, 15, , 
2021/1/13, 120, 78, 30, 21, , 
2021/1/14, 147, 80, 24, 20, , 
2021/1/15, 144, 77, 28, 22, 1, 
2021/1/16, 151, 67, 22, 11, 6, 
2021/1/17, 117, 52, 23, 12, 19, 
2021/1/18, 105, 59, 22, 14, 5, 
2021/1/19, 120, 75, 27, 26, 2, 
2021/1/20, 148, 81, 23, 24, , 
2021/1/21, 144, 81, 23, 26, , 
2021/1/22, 150, 75, 22, 19, , 
2021/1/23, 141, 79, 24, 21, , 
2021/1/24, 151, 86, 23, 28, , 
2021/1/25, 152, 74, 21, 17, , 
2021/1/26, 139, 61, 18, 12, , 
2021/1/27, 111, 65, 18, 15, , 
2021/1/28, 119, 50, 18, 7, , 
2021/1/29, 81, 56, 23, 9, , 
2021/1/30, 107, 57, 21, 12, , 
2021/1/31, 113, 61, 19, 14, , 
2020/10/1, 45, 29, 10, 6, , 
2020/10/2, 53, 22, 8, 5, , 
2020/10/3, 45, 25, 11, 5, , 
2020/10/4, 48, 36, 7, 10, , 
2020/10/5, 60, 33, 10, 8, , 
2020/10/6, 54, 39, 10, 8, , 
2020/10/7, 65, 23, 9, 7, , 
2020/10/8, 56, 27, 10, 7, , 
2020/10/9, 46, 28, 7, 11, , 
2020/10/10, 55, 33, 11, 8, , 
2020/10/11, 59, 47, 9, 11, 2, 
2020/10/12, 83, 32, 6, 11, , 
2020/10/13, 71, 41, 6, 9, , 
2020/10/14, 68, 35, 11, 9, , 
2020/10/15, 65, 22, 6, 9, , 
2020/10/16, 50, 20, 8, 8, , 
2020/10/17, 43, 13, 8, 7, , 
2020/10/18, 36, 28, 6, 10, , 
2020/10/19, 49, 32, 7, 10, , 
2020/10/20, 52, 36, 12, 11, , 
2020/10/21, 57, 32, 17, 9, , 
2020/10/22, 60, 48, 20, 10, , 
2020/10/23, 82, 61, 20, 12, , 
2020/10/24, 98, 63, 20, 12, , 
2020/10/25, 106, 51, 10, 11, , 
2020/10/26, 97, 37, 11, 10, , 
2020/10/27, 68, 49, 9, 14, , 
2020/10/28, 84, 17, 5, 10, , 
2020/10/29, 49, 29, 8, 7, , 
2020/10/30, 51, 39, 8, 8, , 
2020/10/31, 61, 26, 11, 6, , 
2020/11/1, 50, 33, 12, 6, , 
2020/11/2, 65, 45, 18, 7, , 
2020/11/3, 85, 34, 16, 7, , 
2020/11/4, 67, 42, 18, 11, , 
2020/11/5, 76, 41, 18, 9, , 
2020/11/6, 77, 48, 18, 8, , 
2020/11/7, 101, 53, 21, 5, , 
2020/11/8, 107, 54, 19, 9, , 
2020/11/9, 101, 56, 24, 9, , 
2020/11/10, 105, 54, 17, 11, , 
2020/11/11, 101, 44, 18, 10, , 
2020/11/12, 85, 62, 27, 14, , 
2020/11/13, 121, 62, 27, 15, , 
2020/11/14, 119, 56, 20, 13, , 
2020/11/15, 115, 35, 20, 9, , 
2020/11/16, 67, 44, 12, 13, , 
2020/11/17, 74, 49, 12, 13, , 
2020/11/18, 82, 49, 17, 12, , 
2020/11/19, 84, 50, 16, 13, , 
2020/11/20, 87, 53, 14, 12, , 
2020/11/21, 89, 41, 13, 9, , 
2020/11/22, 72, 32, 9, 6, , 
2020/11/23, 59, 35, 22, 6, 11, 
2020/11/24, 55, 39, 10, 8, , 
2020/11/25, 60, 40, 11, 7, 13, 
2020/11/26, 63, 42, 12, 6, , 
2020/11/27, 64, 43, 19, 7, , 
2020/11/28, 73, 33, 19, 6, , 
2020/11/29, 57, 33, 17, 5, , 
2020/11/30, 56, 18, 14, 2, , 
2020/12/1, 51, 31, 18, 7, , 
2020/12/2, 52, 37, 20, 6, , 
2020/12/3, 67, 43, 18, 6, , 
2020/12/4, 78, 39, 18, 8, , 
2020/12/5, 80, 35, 20, 8, , 
2020/12/6, 76, 55, 19, 13, , 
2020/12/7, 111, 47, 20, 11, , 
2020/12/8, 101, 54, 69, 14, , 
2020/12/9, 113, 58, 27, 17, , 
2020/12/10, 123, 45, 18, 11, , 
2020/12/11, 91, 53, 16, 12, 4, 
2020/12/12, 109, 57, 17, 14, , 
2020/12/13, 105, 60, 14, 14, , 
2020/12/14, 110, 49, 10, 11, , 
2020/12/15, 88, 36, 13, 8, , 
2020/12/16, 65, 29, 16, 8, , 
2020/12/17, 54, 33, 15, 9, , 
2020/12/18, 57, 30, 17, 7, , 
2020/12/19, 56, 34, 18, 6, , 
2020/12/20, 65, 44, 17, 9, , 
2020/12/21, 89, 52, 17, 15, , 
2020/12/22, 103, 65, 19, 18, , 
2020/12/23, 129, 57, 16, 17, , 
2020/12/24, 112, 42, 16, 10, , 
2020/12/25, 83, 46, 16, 13, , 
2020/12/26, 83, 57, 22, 13, , 
2020/12/27, 108, 60, 16, 15, , 
2020/12/28, 115, 63, 17, 18, , 
2020/12/29, 116, 56, 15, 5, , 
2020/12/30, 83, 35, 22, 5, , 
2020/12/31, 65, 32, 21, 4, , 
2021/1/1, 70, 33, 20, 6, , 
2021/1/2, 76, 46, 20, 8, , 
2021/1/3, 102, 37, 18, 11, , 
2020/7/1, 49, 23, 10, 6, , 
2020/7/2, 47, 22, 10, 6, , 
2020/7/3, 43, 28, 7, 8, , 
2020/7/4, 50, 26, 8, 8, , 
2020/7/5, 52, 23, 12, 7, , 
2020/7/6, 50, 24, 13, 5, , 
2020/7/7, 55, 22, 12, 6, , 
2020/7/8, 51, 26, 11, 8, , 
2020/7/9, 55, 25, 13, 7, , 
2020/7/10, 55, 27, 10, 9, , 
2020/7/11, 56, 28, 13, 7, , 
2020/7/12, 60, 21, 9, 6, , 
2020/7/13, 48, 23, 13, 8, , 
2020/7/14, 49, 22, 6, 7, , 
2020/7/15, 48, 27, 2, 6, , 
2020/7/16, 53, 22, 2, 4, , 
2020/7/17, 46, 32, 4, 7, , 
2020/7/18, 61, 28, 3, 5, , 
2020/7/19, 59, 30, 2, 6, , 
2020/7/20, 59, 30, 2, 6, , 
2020/7/21, 54, 25, 3, 4, , 
2020/7/22, 52, 27, 3, 6, , 
2020/7/23, 56, 30, 2, 7, , 
2020/7/24, 60, 28, 2, 5, , 
2020/7/25, 57, 26, 2, 5, , 
2020/7/26, 53, 26, 3, 5, , 
